run_id,item_id,participant_id,condition_id,cell_id,referent_status,pro_form_pattern,audience_or_evaluator,norm_centre,task_prompt,speaker_identity,raw_response,reference_success,reference_confidence,feature_fit_score,acceptability_score,attribution_label,sanction_label,norm_orientation_label,counts_as_prediction_evidence,exclusion_reason,notes
audience-reference-structured-critic-simulation,aud-ref-001,simulation-001,aud-ref-001::reference_identification,low-stakes-reference,known_human,feature_aligned,ordinary_interlocutor,descriptive_usage,reference_resolution,unmarked,Riley,yes,7,,,,,,no,blank,"simulation-only dry run; not participant, corpus, or critic evidence"
audience-reference-structured-critic-simulation,aud-ref-001,simulation-001,aud-ref-001::feature_personhood_fit,low-stakes-reference,known_human,feature_aligned,ordinary_interlocutor,descriptive_usage,feature_fit,unmarked,6,,,6,,,,,no,blank,"simulation-only dry run; not participant, corpus, or critic evidence"
audience-reference-structured-critic-simulation,aud-ref-001,simulation-001,aud-ref-001::reported_acceptability,low-stakes-reference,known_human,feature_aligned,ordinary_interlocutor,descriptive_usage,naturalness,unmarked,6,,,,6,,,,no,blank,"simulation-only dry run; not participant, corpus, or critic evidence"
audience-reference-structured-critic-simulation,aud-ref-001,simulation-001,aud-ref-001::grammaticality_attribution,low-stakes-reference,known_human,feature_aligned,ordinary_interlocutor,descriptive_usage,grammaticality_attribution,unmarked,no_problem,,,,,no_problem,,,no,blank,"simulation-only dry run; not participant, corpus, or critic evidence"
audience-reference-structured-critic-simulation,aud-ref-001,simulation-001,aud-ref-001::social_sanction,low-stakes-reference,known_human,feature_aligned,ordinary_interlocutor,descriptive_usage,respect_social_sanction,unmarked,leave_alone,,,,,,leave_alone,,no,blank,"simulation-only dry run; not participant, corpus, or critic evidence"
audience-reference-structured-critic-simulation,aud-ref-001,simulation-001,aud-ref-001::norm_orientation,low-stakes-reference,known_human,feature_aligned,ordinary_interlocutor,descriptive_usage,policy_compliance,unmarked,ordinary_conversation,,,,,,,ordinary_conversation,no,blank,"simulation-only dry run; not participant, corpus, or critic evidence"
audience-reference-structured-critic-simulation,aud-ref-002,simulation-001,aud-ref-002::reference_identification,low-stakes-reference,known_human,feature_aligned,ordinary_interlocutor,descriptive_usage,reference_resolution,unmarked,Maria,yes,7,,,,,,no,blank,"simulation-only dry run; not participant, corpus, or critic evidence"
audience-reference-structured-critic-simulation,aud-ref-002,simulation-001,aud-ref-002::feature_personhood_fit,low-stakes-reference,known_human,feature_aligned,ordinary_interlocutor,descriptive_usage,feature_fit,unmarked,7,,,7,,,,,no,blank,"simulation-only dry run; not participant, corpus, or critic evidence"
audience-reference-structured-critic-simulation,aud-ref-002,simulation-001,aud-ref-002::reported_acceptability,low-stakes-reference,known_human,feature_aligned,ordinary_interlocutor,descriptive_usage,naturalness,unmarked,7,,,,7,,,,no,blank,"simulation-only dry run; not participant, corpus, or critic evidence"
audience-reference-structured-critic-simulation,aud-ref-002,simulation-001,aud-ref-002::grammaticality_attribution,low-stakes-reference,known_human,feature_aligned,ordinary_interlocutor,descriptive_usage,grammaticality_attribution,unmarked,no_problem,,,,,no_problem,,,no,blank,"simulation-only dry run; not participant, corpus, or critic evidence"
audience-reference-structured-critic-simulation,aud-ref-002,simulation-001,aud-ref-002::social_sanction,low-stakes-reference,known_human,feature_aligned,ordinary_interlocutor,descriptive_usage,respect_social_sanction,unmarked,leave_alone,,,,,,leave_alone,,no,blank,"simulation-only dry run; not participant, corpus, or critic evidence"
audience-reference-structured-critic-simulation,aud-ref-002,simulation-001,aud-ref-002::norm_orientation,low-stakes-reference,known_human,feature_aligned,ordinary_interlocutor,descriptive_usage,policy_compliance,unmarked,ordinary_conversation,,,,,,,ordinary_conversation,no,blank,"simulation-only dry run; not participant, corpus, or critic evidence"
