run_id,item_id,participant_id,condition_id,cell_id,referent_status,pro_form_pattern,audience_or_evaluator,norm_centre,task_prompt,speaker_identity,raw_response,reference_success,reference_confidence,feature_fit_score,acceptability_score,attribution_label,sanction_label,norm_orientation_label,counts_as_prediction_evidence,exclusion_reason,notes
audience-reference-pilot-template,aud-ref-001,,aud-ref-001::reference_identification,low-stakes-reference,known_human,feature_aligned,ordinary_interlocutor,descriptive_usage,reference_resolution,unmarked,,,,,,,,,,,
audience-reference-pilot-template,aud-ref-001,,aud-ref-001::feature_personhood_fit,low-stakes-reference,known_human,feature_aligned,ordinary_interlocutor,descriptive_usage,feature_fit,unmarked,,,,,,,,,,,
audience-reference-pilot-template,aud-ref-001,,aud-ref-001::reported_acceptability,low-stakes-reference,known_human,feature_aligned,ordinary_interlocutor,descriptive_usage,naturalness,unmarked,,,,,,,,,,,
audience-reference-pilot-template,aud-ref-001,,aud-ref-001::grammaticality_attribution,low-stakes-reference,known_human,feature_aligned,ordinary_interlocutor,descriptive_usage,grammaticality_attribution,unmarked,,,,,,,,,,,
audience-reference-pilot-template,aud-ref-001,,aud-ref-001::social_sanction,low-stakes-reference,known_human,feature_aligned,ordinary_interlocutor,descriptive_usage,respect_social_sanction,unmarked,,,,,,,,,,,
audience-reference-pilot-template,aud-ref-001,,aud-ref-001::norm_orientation,low-stakes-reference,known_human,feature_aligned,ordinary_interlocutor,descriptive_usage,policy_compliance,unmarked,,,,,,,,,,,
audience-reference-pilot-template,aud-ref-002,,aud-ref-002::reference_identification,low-stakes-reference,known_human,feature_aligned,ordinary_interlocutor,descriptive_usage,reference_resolution,unmarked,,,,,,,,,,,
audience-reference-pilot-template,aud-ref-002,,aud-ref-002::feature_personhood_fit,low-stakes-reference,known_human,feature_aligned,ordinary_interlocutor,descriptive_usage,feature_fit,unmarked,,,,,,,,,,,
audience-reference-pilot-template,aud-ref-002,,aud-ref-002::reported_acceptability,low-stakes-reference,known_human,feature_aligned,ordinary_interlocutor,descriptive_usage,naturalness,unmarked,,,,,,,,,,,
audience-reference-pilot-template,aud-ref-002,,aud-ref-002::grammaticality_attribution,low-stakes-reference,known_human,feature_aligned,ordinary_interlocutor,descriptive_usage,grammaticality_attribution,unmarked,,,,,,,,,,,
